ID,Ref No ,Future_Mid-point,Baseline_Mid-point,Time slice,Climate scenario,Scenario source,Method,Scale,Crop,Country,Site(location),Region,latitude,longitude,Current Average Temperature (dC)_area_weighted,Current Average Temperature_point_coordinate (dC),Current Annual Precipitation (mm) _area_weighted ,Current Annual Precipitation  (mm) _point_coordinate,Local delta T from 2005,Global delta T from pre-industrial period ,Global delta T from 2005, Annual Precipitation change  from 2005 (mm),Fertiliser,Irrigation,Cultivar,Soil organic matter management,Planting time,Tillage,Others ,Adaptation type,CO2,CO2 ppm,Impact relative to 2005_NAD_%,Impact relative to 2005_NAD_yield,Impact relative to 2005_AD_%,Impact relative to 2005_AD_yield,Adaptation potential_(%),Adaptation potential_actual yield,Reference,doi,Publication year
2,1,2054,1995,MC,RCP8.5,CMIP5,SCOPUS-NewSearch,Regional,Maize,Pakistan,Punjub,Asia,31.4167,73.0911,25.45 ,25.45 ,429 ,429 ,2.44 ,2.50 ,1.71 ,72.79 ,Yes,No,Yes,No,Yes,No,Yes,Combined,Yes,564.31 ,-16.28 ,5.60 ,11.63 ,7.95 ,27.91 ,2.34 ,"Ahmad et al., 2020",10.1016/j.eja.2020.126040,2020
4,2,2055,1998,MC,RCP8.5,CMIP5,SCOPUS-NewSearch,Regional,Maize,United States,Wyoming,North America,43.2705,-104.108,10.19 ,10.19 ,468 ,468 ,2.01 ,2.56 ,1.77 ,11.14 ,No,No,No,No,No,No,Yes,Others,Yes,570.52 ,-19.65 ,8.46 ,21.93 ,13.63 ,41.58 ,5.17 ,"Burchfield et al., 2020",10.1007/s10584-019-02567-7,2020
14,5,2070,2002,EC,RCP4.5,CMIP5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4,-85.4,10.54 ,10.54 ,1053 ,1053 ,2.87 ,3.00 ,2.21 ,87.46 ,No,No,No,No,Yes,No,No,Planting date,Yes,524.30 ,-25.91 ,4.07 ,-15.96 ,4.65 ,9.95 ,0.58 ,"Liu et al., 2020",10.1371/journal.pone.0225433,2020
15,5,2070,2002,EC,RCP4.5,CMIP5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4,-85.4,10.54 ,10.54 ,1053 ,1053 ,2.87 ,3.00 ,2.21 ,87.46 ,No,No,Yes,No,Yes,No,No,Combined,Yes,524.30 ,-25.91 ,4.07 ,32.39 ,7.47 ,58.30 ,3.40 ,"Liu et al., 2020",10.1371/journal.pone.0225433,2020
16,5,2070,2002,EC,RCP4.5,CMIP5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4,-85.4,10.54 ,10.54 ,1053 ,1053 ,2.87 ,3.00 ,2.21 ,87.46 ,No,No,No,No,No,Yes,No,Tillage,Yes,524.30 ,-25.91 ,4.07 ,-21.23 ,4.34 ,4.69 ,0.27 ,"Liu et al., 2020",10.1371/journal.pone.0225433,2020
17,5,2070,2002,EC,RCP4.5,CMIP5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4,-85.4,10.54 ,10.54 ,1053 ,1053 ,2.87 ,3.00 ,2.21 ,87.46 ,No,No,No,No,Yes,Yes,No,Combined,Yes,524.30 ,-25.91 ,4.07 ,-16.10 ,4.64 ,9.81 ,0.57 ,"Liu et al., 2020",10.1371/journal.pone.0225433,2020
18,5,2070,2002,EC,RCP4.5,CMIP5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4,-85.4,10.54 ,10.54 ,1053 ,1053 ,2.87 ,3.00 ,2.21 ,87.46 ,No,No,Yes,No,Yes,Yes,No,Combined,Yes,524.30 ,-25.91 ,4.07 ,26.21 ,7.11 ,52.12 ,3.04 ,"Liu et al., 2020",10.1371/journal.pone.0225433,2020
20,5,2090,2002,EC,RCP6.0,CMIP5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4,-85.4,10.54 ,10.54 ,1053 ,1053 ,3.86 ,4.00 ,3.21 ,132.57 ,No,No,No,No,Yes,No,No,Planting date,Yes,635.65 ,-24.75 ,4.15 ,-21.87 ,4.32 ,2.87 ,0.17 ,"Liu et al., 2020",10.1371/journal.pone.0225433,2020
21,5,2090,2002,EC,RCP6.0,CMIP5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4,-85.4,10.54 ,10.54 ,1053 ,1053 ,3.86 ,4.00 ,3.21 ,132.57 ,No,No,Yes,No,Yes,No,No,Combined,Yes,635.65 ,-24.75 ,4.15 ,26.98 ,7.14 ,51.73 ,2.99 ,"Liu et al., 2020",10.1371/journal.pone.0225433,2020
22,5,2090,2002,EC,RCP6.0,CMIP5,SCOPUS-NewSearch,Regional,Maize,United States,Michigan,North America,42.4,-85.4,10.54 ,10.54 ,1053 ,1053 ,3.86 ,4.00 ,3.21 ,132.57 ,No,No,No,No,No,Yes,No,Tillage,Yes,635.65 ,-24.75 ,4.15 ,-16.27 ,4.64 ,8.48 ,0.49 ,"Liu et al., 2020",10.1371/journal.pone.0225433,2020
