"ID","crop","country","sublocation","continent","current_avg_temp","current_annual_precipitation","mid_point_year","time_slice","climate_scenario","local_temp_change_since_2005","local_precipitation_change_since_2005","global_temp_chance_since_2005","projected_yield","climate_yield_change_from_2005","yield_change_per_C","yield_change_per_decade"
13,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,4.1,-25.91,-9.04,-3.99
14,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,4.6,-15.96,-5.56,-2.46
15,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,7.5,32.39,11.29,4.98
16,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,4.3,-21.23,-7.4,-3.27
17,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,4.6,-16.1,-5.61,-2.48
18,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,7.1,26.21,9.14,4.03
25,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,3.8,-30.66,-10.69,-4.72
26,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,3.4,-36.56,-12.75,-5.63
27,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,7.5,32.79,11.44,5.04
28,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,3.9,-29.06,-10.13,-4.47
29,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,4,-26.4,-9.21,-4.06
30,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,7.3,29.48,10.28,4.53
37,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,3.3,-39.1,-13.64,-6.02
38,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,4,-27.52,-9.6,-4.23
39,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,7.4,31.86,11.11,4.9
40,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,3.7,-31.6,-11.02,-4.86
41,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,4,-27.68,-9.65,-4.26
42,"Maize","United States","Michigan","North America",10.5,1053,2070,"EC","RCP4.5",2.87,87.5,2.21,7.2,28.47,9.93,4.38
118,"Maize","United States","Georgia","North America",16.4,1346,2030,"NF","RCP4.5",0.27,22,0.75,10,-8.42,-30.93,-3.37
132,"Maize","Canada","Ontario","North America",10.1,911,2055,"MC","RCP4.5",2,18.6,1.74,7.5,-10.71,-5.36,-2.14
133,"Maize","Canada","Ontario","North America",10.1,911,2085,"EC","RCP4.5",2.8,16,2.19,6.6,-20,-7.14,-2.5
136,"Maize","Canada","Ontario","North America",10.1,911,2055,"MC","RCP4.5",2,18.6,1.74,7.3,-12.86,-6.43,-2.57
137,"Maize","Canada","Ontario","North America",10.1,911,2085,"EC","RCP4.5",2.8,16,2.19,6.6,-20,-7.14,-2.5
140,"Maize","Canada","Ontario","North America",10.1,911,2055,"MC","RCP4.5",2,18.6,1.74,10.3,14.97,7.49,2.99
